,0
Nrgn,0.00426678104057
Camk2n1,0.00416948893261
Snap25,0.0036520886191
Mbp,0.00358873613612
Ppp3ca,0.0034582197494
Olfm1,0.00280104030744
Ttr,0.00257390994211
Plp1,0.00251712366881
Pcp4,0.00248388780576
Cpe,0.00244308116092
Atp1b1,0.00235106316771
Calm2,0.00231674905798
Cck,0.00227625510831
Prkcb,0.00225977617136
Fth1,0.00223132660109
X3110035E14Rik,0.00216177644441
Gpm6a,0.00213792919774
Chn1,0.00213168476115
Atp1a1,0.00212163555789
Ptgds,0.00203157169109
Mef2c,0.00202151138648
Hbb.bs,0.00201259629111
Camk2a,0.00199859744353
Tmsb4x,0.00199394734618
Rtn1,0.00194922789465
Ppp3r1,0.00193399363231
Arpp21,0.00185991289213
Kalrn,0.00183988662127
Slc17a7,0.00183152980676
Slc1a2,0.00182242182987
Egr1,0.001800096815
Gda,0.00177576758698
Ttc9b,0.001771454256
Tbr1,0.00176242518308
Ywhaz,0.00175027809191
X1110008P14Rik,0.00174853917492
Sparc,0.00174447761448
Sparcl1,0.00172203523404
Hpca,0.00171190620725
Calm1,0.00170275776005
Serinc1,0.00166875157536
Ndrg4,0.00166661729107
Dclk1,0.00166600368685
Actb,0.00165413712952
Tspan7,0.00163782289356
Apoe,0.00163332461015
Syt1,0.00162706872869
Diras2,0.00162017556598
Adcy1,0.00159931057167
Ppp1r1b,0.00157559510215
Snca,0.00156026293394
Mobp,0.00155611807873
Celf2,0.00155255968881
Camkk2,0.00154836993403
Sptbn2,0.00154815345016
Enc1,0.00153806623445
Pde1a,0.00153280722849
Gnas,0.00152124927935
Ctxn1,0.00151868225768
Arf3,0.00150392116571
Fbxl16,0.00149547836616
Cox8a,0.00149515407114
Scn1b,0.00149505692193
Calm3,0.00148982972319
Psd,0.00146777208795
Ywhag,0.00146313034105
Aldoa,0.00146148394261
Actg1,0.00145866441599
Pgm2l1,0.00145800828477
Gria2,0.00145324647776
Cst3,0.00144871954231
Dlgap1,0.00144777454124
Rab6b,0.00144352326482
Hbb.bt,0.00143747973397
Cdk5r2,0.00143683561415
Atp2b1,0.00143555530934
Ngef,0.0014344391013
Zfp365,0.00142040972598
Stxbp1,0.00141122020141
Arpp19,0.00140929023295
Aldoc,0.00140620268196
Ndufa4,0.00138211271345
Atp5b,0.00137215574406
Efhd2,0.00137099189008
Penk,0.00136190353363
Cplx1,0.0013609021169
Agap2,0.00135919309709
Dnm1,0.00135499407634
Ccl27a,0.00135376447094
Mmp17,0.00135237597466
Wasf1,0.00134512272791
Rasgrp1,0.00134269295107
Pja2,0.00133526162366
Ubb,0.00132710821784
Atp5a1,0.00132201136919
Ier5,0.00131446085395
Sv2b,0.00131422572963
Hba.a2,0.00130851540608
Cplx2,0.00130357718659
Hba.a1,0.00129826134319
Itm2b,0.00128355896153
Pcsk1n,0.0012827676417
Agt,0.00128047619839
Rtn3,0.00127566188913
Cox6c,0.00127194820876
Nptn,0.00125955347242
Nnat,0.00125913311881
Ywhab,0.00125202214455
Rps21,0.00124952945898
Nptx1,0.00124919920799
Baiap2,0.00124489903493
Lmo4,0.00124258210724
Atp2b2,0.00124226051045
Igfbp4,0.0012394202674
Camk4,0.00123279485633
Clstn1,0.00123158791143
Cldn11,0.00122664639568
Ywhah,0.00121918058185
Stx1a,0.00121899679069
Chgb,0.00121875175314
Itpr1,0.0012069315876
Kcnj10,0.00120688861662
Slc6a11,0.00120319830043
Ppp1r9a,0.0012025848553
Vamp2,0.00120176678238
Qk,0.00119787060121
Rasd2,0.00118712949518
Plppr4,0.00117688852542
Cox7c,0.0011766271569
Foxg1,0.00117208131932
Syn2,0.00117018437242
Usmg5,0.00115915487447
Scd2,0.00115534126198
Sst,0.0011537174633
App,0.00114448564889
Sncb,0.0011422902168
Glul,0.00114186106863
Fam131a,0.00113949844935
Zbtb18,0.00113784127076
Hlf,0.00113436178705
Plcb1,0.00113308449305
Cd81,0.00113243100217
E130012A19Rik,0.00113071333051
Rapgef4,0.00112829034931
Cfl1,0.00112325637093
Nsmf,0.0011127957535
Vsnl1,0.00110836245732
Mt1,0.00110763896339
Pfn2,0.0011052969804
Uchl1,0.00110141232758
Cox4i1,0.00109675207628
Nptxr,0.00109431925352
Apod,0.00108628661223
Sepw1,0.00108624490502
Cox6a1,0.00108468416039
Tcf7l2,0.00108010704023
Gpr88,0.00107782466927
Hsp90ab1,0.00107535143332
Npy,0.00107526254389
Ncdn,0.00107315894892
Arc,0.00106854500094
Map1b,0.00106713177976
Hsp90aa1,0.00106411976404
Psap,0.00106139270771
Nap1l5,0.00105972839966
Nefl,0.00105726062844
Slc24a2,0.00104932486012
Cnksr2,0.00104873176657
Dkk3,0.00104116739367
Slc25a4,0.00104005670752
Id2,0.00103006562532
Mdh1,0.00102908917073
Ddn,0.00101495597545
Syn1,0.00101270294301
Rbfox1,0.00101164518386
Myt1l,0.00100863071612
Prnp,0.00100646642795
Fkbp1a,0.00100609509467
X2010107E04Rik,0.00100409938736
Neurod2,0.00100261305868
Cabp1,0.000996317685969
Rgs4,0.000992206764886
Dbi,0.00099217428125
Cyfip2,0.000988502234441
Stac2,0.000985687427713
Cnp,0.000985465145392
Zic1,0.000983572775449
Camk2g,0.000979873811164
Brk1,0.000975291790013
Ipcef1,0.000970339303507
Pld3,0.000967960558594
Atp6v1e1,0.000967469126154
Hpcal4,0.00096661002794
Tubb2a,0.000964185435767
Pkm,0.000955066163761
Gabra1,0.00095255072026
Satb1,0.000948392184438
Gng3,0.000945382266424
Pip5k1c,0.000941659884335
Sptbn1,0.000941212275734
Nckap1,0.000938619850036
Ptk2b,0.000935921772828
Pmch,0.00093564608227
Neurod6,0.000934589071231
Fxyd7,0.000931032581015
Kif5a,0.000927466373671
Cox7b,0.000921086956327
Rnf187,0.000920186025165
Stmn3,0.000919948743825
Atp5g3,0.000919798040188
Hs3st2,0.000909273837306
Homer1,0.000908104185521
Icam5,0.000907379659942
Serpini1,0.000899793969877
Eef1a2,0.000896978733489
Pde10a,0.000896805280986
Slc17a6,0.000896379199271
Clu,0.000894157457868
Gas7,0.000892952452654
Cacnb4,0.000891111205414
Prkce,0.000890149618607
Sepp1,0.00089000609328
Atp2a2,0.000889414976802
Arhgap32,0.000888894611249
Ano3,0.000888044079031
Mpped1,0.000887899671183
Psd3,0.000885919585476
Tmsb10,0.000884781542481
Mkl2,0.000884176351683
Rab3a,0.000878559632446
Ckb,0.000877639747187
Rpl11,0.000876920882236
Basp1,0.000873531613045
Car2,0.000873016260982
Pcsk2,0.000870634084372
Plk2,0.000868851612644
Trf,0.000868450314721
Ccl27b,0.000868405196969
Cadm2,0.00086781214746
Uqcr11,0.000867219142483
Mapk1,0.000866244048345
Nr4a1,0.000865824858079
Rpl38,0.000863376913901
Atp1a2,0.000862941821195
Grina,0.000862918205036
Qdpr,0.00086258076429
Rprml,0.000862298930694
X2010300C02Rik,0.000861443614912
Atp5f1,0.000859644037165
Rplp1,0.000859013099732
Fam81a,0.000858843288949
Rprm,0.000858372003085
Gm15800,0.000855236315813
Mtpn,0.000855079007799
Atp6v1a,0.000851298764258
Fam163b,0.000850944982621
Nsg2,0.000847415420027
Ndrg2,0.000845030124491
Atp1b2,0.000843405210316
Atp6ap2,0.000842830148745
Reps2,0.000842435672954
Tmem132a,0.000841280872432
Kif5b,0.000840720560313
Prkcd,0.00083859169068
Gls,0.000833455654371
Rps3,0.000831014567608
Rtn4,0.00083014926007
Pak1,0.000829604143975
Bsn,0.000827553484044
Dpysl2,0.000827522200259
Rps17,0.000821508016777
Prkacb,0.000820620106785
Uqcrq,0.000820564968482
Tspyl4,0.000819634395459
Gad1,0.000819007685133
Rims1,0.000818743137132
Atp6v1g2,0.000816686291499
Slc22a17,0.000813885309392
Mt2,0.000812212896712
Frrs1l,0.000811244628327
Purb,0.000810343000274
Sh3gl2,0.000810311383979
Cdk5r1,0.000810193523553
Gpm6b,0.000808815086374
Stmn1,0.000806591875111
Thy1,0.00080592884734
Aldh1a1,0.000805431436543
Tuba4a,0.000804925348739
Mal,0.000804129034531
Cnih2,0.000803578967367
Snrpn,0.00080193110834
Map2,0.000800730972837
Nrxn1,0.000800213110885
Ndrg3,0.000798740735922
Mt3,0.000795828591426
Gabbr1,0.00079565113601
Camkv,0.000795088128943
Calb2,0.000793711246561
Lars2,0.000793465811766
Nsf,0.000793116740848
Snap91,0.000792983688769
Necap1,0.000791793293795
Ncald,0.000790781914759
Fgfr1,0.000790580305179
Plekhb1,0.000790492497883
Rpl41,0.000789030945921
